facility,address,city,state,zip,county,hosp_type,total_beds
University Health Truman Medical Center,2301 Holmes Street,Kansas City,MO,64108,Jackson,General Acute Care,214
Saint Luke's East Hospital,100 N. E. Saint Luke's Boulevard,Lee's Summit,MO,64086,Jackson,General Acute Care,240
Lee's Summit Medical Center,2100 SE Blue Parkway,Lee's Summit,MO,64063,Jackson,General Acute Care,88
Fulton State Hospital,600 East 5th Street,Fulton,MO,65251,Callaway,Psychiatric Hospital,0
CenterPointe Hospital,4801 Weldon Spring Parkway,St. Charles,MO,63304,St. Charles,Psychiatric Hospital,104
SSM Health St. Joseph Hospital - St. Charles,300 First Capitol Drive,St. Charles,MO,63301,St. Charles,General Acute Care,329
SSM Health St. Joseph Hospital - Lake Saint Louis,100 Medical Plaza,Lake St. Louis,MO,63367,St. Charles,General Acute Care,215
SSM Health St. Joseph Hospital - Wentzville,500 Medical Drive,Wentzville,MO,63385,St. Charles,General Acute Care,77
Select Specialty Hospital-St. Louis,300 1st Capitol Drive,St. Charles,MO,63301,St. Charles,Long Term Care,33
Progress West Hospital,2 Progress Point Pkwy,O'Fallon,MO,63368,St. Charles,General Acute Care,77
SSM Health Rehabilitation Hospital - Lake St. Louis,"100 Medical Plaza, 5th Floor",Lake St. Louis,MO,63367,St. Charles,Rehabilitation Hospital,30
"The Rehabilitation Institute of St. Louis, an affiliation of BJC Healthcare and Encompass Health","10 Hospital Drive, 3rd Floor",St. Peters,MO,63376,St. Charles,Rehabilitation Hospital,40
Western Missouri Medical Center,403 Burkarth Road,Warrensburg,MO,64093,Johnson,General Acute Care,62
Bothwell Regional Health Center,"601 East 14th Street, P.O. Box 1706",Sedalia,MO,65301,Pettis,General Acute Care,112
Hawthorn Children's Psychiatric Hospital,1901 Pennsylvania Avenue,St. Louis,MO,63133,St. Louis,Psychiatric Hospital,0
"VA St. Louis Health Care System, Jefferson Barracks Division",1 Jefferson Barracks Drive,St. Louis,MO,63125,St. Louis,VA,30
St. Luke's Rehabilitation Hospital,14709 Olive Boulevard,Chesterfield,MO,63017,St. Louis,Rehabilitation Hospital,35
SSM Health Rehabilitation Hospital - Bridgeton,12380 DePaul Drive,Bridgeton,MO,63044,St. Louis,Rehabilitation Hospital,60
SSM Health St. Clare Hospital - Fenton,1015 Bowles Ave,Fenton,MO,63026,St. Louis,General Acute Care,180
St. Luke's Hospital,232 South Woods Mill Road,Chesterfield,MO,63017,St. Louis,General Acute Care,493
Barnes-Jewish West County Hospital,12634 Olive Boulevard,Creve Coeur,MO,63141,St. Louis,General Acute Care,100
